stop_id,stop_code,stop_name,stop_lon,stop_lat
9400ZZLUACT3,,Acton Town Underground Station,-0.279924,51.50281
9400ZZLUACT4,,Acton Town Underground Station,-0.279853,51.50276
9400ZZLUALP1,,Alperton Underground Station,-0.299837,51.54072
9400ZZLUALP2,,Alperton Underground Station,-0.299708,51.54068
9400ZZLUASG1,,Arnos Grove Underground Station,-0.133068,51.61630
9400ZZLUASL1,,Arsenal Underground Station,-0.107903,51.55868
9400ZZLUASL2,,Arsenal Underground Station,-0.107931,51.55870
9400ZZLUBDS1,,Bounds Green Underground Station,-0.124617,51.60688
9400ZZLUBOS1,,Boston Manor Underground Station,-0.324665,51.49564
9400ZZLUBOS2,,Boston Manor Underground Station,-0.324724,51.49560
9400ZZLUBSC3,,Barons Court Underground Station,-0.213999,51.49041
9400ZZLUBSC4,,Barons Court Underground Station,-0.213884,51.49040
9400ZZLUCAR1,,Caledonian Road Underground Station,-0.118613,51.54875
9400ZZLUCGN1,,Covent Garden Underground Station,-0.124380,51.51304
9400ZZLUCGN2,,Covent Garden Underground Station,-0.124336,51.51305
9400ZZLUCKS1,,Cockfosters Underground Station,-0.149056,51.65151
9400ZZLUEAE1,,Eastcote Underground Station,-0.396519,51.57659
9400ZZLUEAE2,,Eastcote Underground Station,-0.396576,51.57659
9400ZZLUECM1,,Ealing Common Underground Station,-0.288213,51.50999
9400ZZLUECM2,,Ealing Common Underground Station,-0.288185,51.50996
9400ZZLUECT3,,Earl's Court Underground Station,-0.193752,51.49172
9400ZZLUECT4,,Earl's Court Underground Station,-0.193663,51.49178
9400ZZLUFPK1,,Finsbury Park Underground Station,-0.106036,51.56439
9400ZZLUFPK2,,Finsbury Park Underground Station,-0.105749,51.56435
9400ZZLUGPK4,,Green Park Underground Station,-0.141930,51.50712
9400ZZLUGTR4,,Gloucester Road Underground Station,-0.183207,51.49426
9400ZZLUGTR5,,Gloucester Road Underground Station,-0.183079,51.49423
9400ZZLUHBN3,,Holborn Underground Station,-0.120244,51.51759
9400ZZLUHBN4,,Holborn Underground Station,-0.120204,51.51751
9400ZZLUHGD1,,Hillingdon Underground Station,-0.450409,51.55359
9400ZZLUHGD2,,Hillingdon Underground Station,-0.450380,51.55359
9400ZZLUHNX1,,Hatton Cross Underground Station,-0.423607,51.46639
9400ZZLUHPC1,,Hyde Park Corner Underground Station,-0.153129,51.50278
9400ZZLUHR41,,Heathrow Terminal 4 Underground Station,-0.445863,51.45836
9400ZZLUHR51,,Heathrow Terminal 5 Underground Station,-0.490490,51.47001
9400ZZLUHRC1,,Heathrow Terminals 2 & 3 Underground Station,-0.452334,51.47132
9400ZZLUHRC2,,Heathrow Terminals 1-2-3 Underground Station,-0.452290,51.47135
9400ZZLUHSD3,,Hammersmith (Dist&Picc Line) Underground Station,-0.223976,51.49242
9400ZZLUHSD4,,Hammersmith (Dist&Picc Line) Underground Station,-0.223934,51.49238
9400ZZLUHWC1,,Hounslow Central Underground Station,-0.366203,51.47133
9400ZZLUHWE1,,Hounslow East Underground Station,-0.356145,51.47354
9400ZZLUHWE2,,Hounslow East Underground Station,-0.356057,51.47360
9400ZZLUHWT1,,Hounslow West Underground Station,-0.385754,51.47342
9400ZZLUHWY1,,Holloway Road Underground Station,-0.113350,51.55290
9400ZZLUICK1,,Ickenham Underground Station,-0.442225,51.56177
9400ZZLUICK2,,Ickenham Underground Station,-0.442256,51.56171
9400ZZLUKNB1,,Knightsbridge Underground Station,-0.161179,51.50146
9400ZZLUKNB2,,Knightsbridge Underground Station,-0.161235,51.50150
9400ZZLUKSX6,,King's Cross St. Pancras Underground Station,-0.123010,51.53129
9400ZZLUKSX7,,King's Cross St. Pancras Underground Station,-0.123007,51.53136
9400ZZLULSQ3,,Leicester Square Underground Station,-0.127668,51.51160
9400ZZLULSQ4,,Leicester Square Underground Station,-0.127609,51.51162
9400ZZLUMRH1,,Manor House Underground Station,-0.096440,51.57028
9400ZZLUNEN1,,North Ealing Underground Station,-0.288395,51.51782
9400ZZLUNEN2,,North Ealing Underground Station,-0.288454,51.51779
9400ZZLUNFD1,,Northfields Underground Station,-0.313468,51.49964
9400ZZLUNFD2,,Northfields Underground Station,-0.313381,51.49967
9400ZZLUOAK1,,Oakwood Underground Station,-0.131418,51.64733
9400ZZLUOSY1,,Osterley Underground Station,-0.351812,51.48150
9400ZZLUOSY2,,Osterley Underground Station,-0.351843,51.48145
9400ZZLUPCC3,,Piccadilly Circus Underground Station,-0.135495,51.50944
9400ZZLUPCC4,,Piccadilly Circus Underground Station,-0.134926,51.50959
9400ZZLUPKR1,,Park Royal Underground Station,-0.284058,51.52660
9400ZZLUPKR2,,Park Royal Underground Station,-0.284032,51.52652
9400ZZLURSM1,,Ruislip Manor Underground Station,-0.412215,51.57343
9400ZZLURSM2,,Ruislip Manor Underground Station,-0.412113,51.57346
9400ZZLURSP1,,Ruislip Underground Station,-0.421537,51.57137
9400ZZLURSP2,,Ruislip Underground Station,-0.421420,51.57139
9400ZZLURSQ1,,Russell Square Underground Station,-0.124399,51.52346
9400ZZLURSQ2,,Russell Square Underground Station,-0.124358,51.52340
