stop_id,MSOA11CD,MSOA11NM,stop_name,geometry
490001002J,E02000270,Ealing 033,Acton Central Station,POINT (-0.26405 51.50647)
490003083G,E02000270,Ealing 033,Acton Old Town Hall,POINT (-0.268912 51.5067)
490003088K,E02000270,Ealing 033,Acton Old Town Hall  Salisbury Street,POINT (-0.267401 51.50588)
490000002B,E02000270,Ealing 033,Acton Town,POINT (-0.279864 51.50402)
490011708N1,E02000270,Ealing 033,Roslin Road,POINT (-0.276942 51.49971)
490020303S,E02000270,Ealing 033,Acton Town Station  Enfield Road,POINT (-0.278861 51.50233)
490010968V,E02000270,Ealing 033,Petersfield Road,POINT (-0.266738 51.50399)
490010968W,E02000270,Ealing 033,Meon Road,POINT (-0.267057 51.50431)
4.90E+09,E02000270,Ealing 033,All Saints Road,POINT (-0.270028 51.50196)
490003267W,E02000270,Ealing 033,Newton Avenue,POINT (-0.269161 51.50203)
490010741E,E02000270,Ealing 033,Palmerston Road Stanley Road,POINT (-0.273306 51.50139)
490010741W,E02000270,Ealing 033,Palmerston Road Stanley Road,POINT (-0.273193 51.50132)
490011708S,E02000270,Ealing 033,Roslin Road,POINT (-0.276222 51.49934)
490015579N,E02000270,Ealing 033,Stanhope Way  Acton Works,POINT (-0.273547 51.49806)
490015579S,E02000270,Ealing 033,Stanhope Way  Acton Works,POINT (-0.273472 51.49815)
490015590S,E02000270,Ealing 033,Colville Road (W3),POINT (-0.275077 51.49874)
490015591E,E02000270,Ealing 033,Hanbury Road,POINT (-0.276076 51.50091)
490015591W,E02000270,Ealing 033,Hanbury Road,POINT (-0.276615 51.50074)
490000005A,E02000121,Brent 029,Alperton,POINT (-0.298935 51.54054)
490000005B,E02000121,Brent 029,Alperton,POINT (-0.299067 51.54087)
4.90E+09,E02000121,Brent 029,Alperton Sainsbury's,POINT (-0.302345 51.53802)
490003268W2,E02000121,Brent 029,Alperton Sainsbury's  Athlon Road,POINT (-0.302581 51.5379)
490005380N,E02000121,Brent 029,Clayton Avenue,POINT (-0.297008 51.54465)
490009555S,E02000121,Brent 029,Manor Farm Road,POINT (-0.305744 51.53853)
490012548S,E02000121,Brent 029,Stanley Avenue Ealing Road,POINT (-0.297136 51.54354)
490003266N,E02000121,Brent 029,Vicars Bridge Close,POINT (-0.297709 51.53591)
490007198E,E02000121,Brent 029,Glacier Way,POINT (-0.298826 51.53767)
490007198G,E02000121,Brent 029,Glacier Way,POINT (-0.299071 51.53767)
490003268W1,E02000121,Brent 029,Glacier Way,POINT (-0.302105 51.53789)
490003264C,E02000121,Brent 029,Alperton,POINT (-0.301203 51.54044)
490003264D,E02000121,Brent 029,Alperton,POINT (-0.301395 51.54032)
490005414N,E02000121,Brent 029,Clifford Road (HA0),POINT (-0.306286 51.54451)
490005414S,E02000121,Brent 029,Clifford Road (HA0),POINT (-0.305259 51.54342)
4.90E+10,E02000121,Brent 029,Alperton Sainsbury's,POINT (-0.3021 51.53802)
490010088E,E02000121,Brent 029,Mount Pleasant,POINT (-0.294753 51.54209)
490010088W,E02000121,Brent 029,Mount Pleasant,POINT (-0.29516 51.54201)
490001207E,E02000308,Enfield 032,New Southgate Station,POINT (-0.143119 51.61497)
490001207N,E02000308,Enfield 032,New Southgate Station,POINT (-0.142963 51.61454)
490008265E,E02000308,Enfield 032,Hobart Corner,POINT (-0.136555 51.61157)
490008265N,E02000308,Enfield 032,Hobart Corner,POINT (-0.136661 51.61147)
490009427E,E02000308,Enfield 032,Lower Park Road,POINT (-0.139353 51.61238)
490009427N,E02000308,Enfield 032,Lower Park Road,POINT (-0.139645 51.61194)
490014618E,E02000308,Enfield 032,Whitmore Close,POINT (-0.141846 51.61358)
