stop_id,MSOA11CD,MSOA11NM,stop_name,geometry
490002060A,E02000697,Merton 009,Morden Road Tram Stop,POINT (-0.192482 51.40942)
490008586C,E02000697,Merton 009,Morden Road Tram Stop,POINT (-0.19237 51.41081)
490002057C,E02000697,Merton 009,Merton Park Tram Stop,POINT (-0.200154 51.41509)
490002057D,E02000697,Merton 009,Merton Park Tram Stop,POINT (-0.201016 51.41474)
490002057A,E02000697,Merton 009,Merton Park Tram Stop,POINT (-0.202449 51.41522)
490002057B,E02000697,Merton 009,Merton Park Tram Stop,POINT (-0.202079 51.41514)
9400ZZCRDDR1,E02000697,Merton 009,Dundonald Road Tram Stop,POINT (-0.207648 51.41761)
9400ZZCRDDR2,E02000697,Merton 009,Dundonald Road Tram Stop,POINT (-0.207706 51.41761)
9400ZZCRMDN1,E02000697,Merton 009,Morden Road Tram Stop,POINT (-0.192597 51.40905)
9400ZZCRMDN2,E02000697,Merton 009,Morden Road Tram Stop,POINT (-0.192608 51.40878)
9400ZZCRMTP1,E02000697,Merton 009,Merton Park Tram Stop,POINT (-0.201431 51.41479)
9400ZZCRMTP2,E02000697,Merton 009,Merton Park Tram Stop,POINT (-0.201517 51.4148)
9400ZZCRWMB1,E02000691,Merton 003,Wimbledon Tram Stop,POINT (-0.205773 51.42105)
490002010A,E02000139,Bromley 013,Beckenham Road Tram Stop,POINT (-0.043443 51.40935)
490002010B,E02000139,Bromley 013,Beckenham Road Tram Stop,POINT (-0.044072 51.40943)
9400ZZCRBRD1,E02000139,Bromley 013,Beckenham Road Tram Stop,POINT (-0.042855 51.40964)
9400ZZCRAVE1,E02000141,Bromley 015,Avenue Road Tram Stop,POINT (-0.049092 51.40704)
9400ZZCRAVE2,E02000141,Bromley 015,Avenue Road Tram Stop,POINT (-0.0491 51.40685)
9400ZZCRBIR1,E02000141,Bromley 015,Birkbeck Tram Stop,POINT (-0.056063 51.40405)
9400ZZCRELM1,E02006787,Bromley 041,Elmers End Tram Stop,POINT (-0.049555 51.39851)
9400ZZCRBEK1,E02000132,Bromley 006,Beckenham Junction Tram Stop,POINT (-0.02619 51.41095)
490002023W13,E02000217,Croydon 024,Church Street Tram Stop,POINT (-0.104654 51.37427)
490002042C0,E02000217,Croydon 024,Centrale Tram Stop,POINT (-0.103807 51.37598)
490002023W14,E02000217,Croydon 024,Church Street Tram Stop,POINT (-0.105251 51.37372)
9400ZZCRCHR1,E02000217,Croydon 024,Church Street Tram Stop,POINT (-0.103985 51.37377)
9400ZZCRCTR1,E02000217,Croydon 024,Centrale Tram Stop,POINT (-0.103424 51.37623)
9400ZZCRRVC1,E02000217,Croydon 024,Reeves Corner Tram Stop,POINT (-0.10638 51.37527)
