stop_id,MSOA11CD,MSOA11NM,stop_name,geometry
9400ZZLUACT3,E02000270,Ealing 033,Acton Town Underground Station,POINT (-0.279924 51.50281)
9400ZZLUACT4,E02000270,Ealing 033,Acton Town Underground Station,POINT (-0.279853 51.50276)
9400ZZLUACT1,E02000270,Ealing 033,Acton Town Underground Station,POINT (-0.280079 51.50289)
9400ZZLUACT2,E02000270,Ealing 033,Acton Town Underground Station,POINT (-0.280009 51.50284)
9400ZZLUALP1,E02000121,Brent 029,Alperton Underground Station,POINT (-0.299837 51.54072)
9400ZZLUALP2,E02000121,Brent 029,Alperton Underground Station,POINT (-0.299708 51.54068)
9400ZZLUASG1,E02000308,Enfield 032,Arnos Grove Underground Station,POINT (-0.133068 51.6163)
9400ZZLUASL1,E02000559,Islington 006,Arsenal Underground Station,POINT (-0.107903 51.55868)
9400ZZLUASL2,E02000559,Islington 006,Arsenal Underground Station,POINT (-0.107931 51.5587)
9400ZZLUBDS1,E02000400,Haringey 004,Bounds Green Underground Station,POINT (-0.124617 51.60688)
9400ZZLUBOS1,E02000531,Hounslow 006,Boston Manor Underground Station,POINT (-0.324665 51.49564)
9400ZZLUBOS2,E02000531,Hounslow 006,Boston Manor Underground Station,POINT (-0.324724 51.4956)
9400ZZLUBSC3,E02000385,Hammersmith and Fulham 014,Barons Court Underground Station,POINT (-0.213999 51.49041)
9400ZZLUBSC4,E02000385,Hammersmith and Fulham 014,Barons Court Underground Station,POINT (-0.213884 51.4904)
9400ZZLUBSC1,E02000385,Hammersmith and Fulham 014,Barons Court Underground Station,POINT (-0.2142 51.49042)
9400ZZLUBSC2,E02000385,Hammersmith and Fulham 014,Barons Court Underground Station,POINT (-0.214114 51.49041)
9400ZZLUWKN1,E02000385,Hammersmith and Fulham 014,West Kensington Underground Station,POINT (-0.20619 51.49083)
9400ZZLUWKN2,E02000385,Hammersmith and Fulham 014,West Kensington Underground Station,POINT (-0.206088 51.49085)
9400ZZLUCAR1,E02000568,Islington 015,Caledonian Road Underground Station,POINT (-0.118613 51.54875)
9400ZZLUCGN1,E02000977,Westminster 018,Covent Garden Underground Station,POINT (-0.12438 51.51304)
9400ZZLUCGN2,E02000977,Westminster 018,Covent Garden Underground Station,POINT (-0.124336 51.51305)
9400ZZLUGPK4,E02000977,Westminster 018,Green Park Underground Station,POINT (-0.14193 51.50712)
9400ZZLULSQ3,E02000977,Westminster 018,Leicester Square Underground Station,POINT (-0.127668 51.5116)
9400ZZLULSQ4,E02000977,Westminster 018,Leicester Square Underground Station,POINT (-0.127609 51.51162)
9400ZZLUPCC3,E02000977,Westminster 018,Piccadilly Circus Underground Station,POINT (-0.135495 51.50944)
9400ZZLUPCC4,E02000977,Westminster 018,Piccadilly Circus Underground Station,POINT (-0.134926 51.50959)
9400ZZLUCHX4,E02000977,Westminster 018,Charing Cross Underground Station,POINT (-0.125691 51.50884)
9400ZZLUCHX5,E02000977,Westminster 018,Charing Cross Underground Station,POINT (-0.125592 51.5088)
9400ZZLULSQ1,E02000977,Westminster 018,Leicester Square Underground Station,POINT (-0.128618 51.51197)
9400ZZLULSQ2,E02000977,Westminster 018,Leicester Square Underground Station,POINT (-0.128577 51.51191)
9400ZZLUGPK2,E02000977,Westminster 018,Green Park Underground Station,POINT (-0.141694 51.50618)
9400ZZLUGPK3,E02000977,Westminster 018,Green Park Underground Station,POINT (-0.14158 51.50616)
9400ZZLUTMP1,E02000977,Westminster 018,Temple Underground Station,POINT (-0.114756 51.51086)
9400ZZLUTMP2,E02000977,Westminster 018,Temple Underground Station,POINT (-0.114669 51.51088)
9400ZZLUGPK1,E02000977,Westminster 018,Green Park Underground Station,POINT (-0.142256 51.50654)
9400ZZLUGPK5,E02000977,Westminster 018,Green Park Underground Station,POINT (-0.142257 51.5065)
9400ZZLUCHX1,E02000977,Westminster 018,Charing Cross Underground Station,POINT (-0.128097 51.50745)
9400ZZLUEMB1,E02000977,Westminster 018,Embankment Underground Station,POINT (-0.122886 51.5066)
9400ZZLUEMB2,E02000977,Westminster 018,Embankment Underground Station,POINT (-0.122772 51.50658)
9400ZZLUCKS1,E02000287,Enfield 011,Cockfosters Underground Station,POINT (-0.149056 51.65151)
9400ZZLUEAE1,E02000501,Hillingdon 008,Eastcote Underground Station,POINT (-0.396519 51.57659)
9400ZZLUEAE2,E02000501,Hillingdon 008,Eastcote Underground Station,POINT (-0.396576 51.57659)
9400ZZLUECM1,E02000264,Ealing 027,Ealing Common Underground Station,POINT (-0.288213 51.50999)
9400ZZLUECM2,E02000264,Ealing 027,Ealing Common Underground Station,POINT (-0.288185 51.50996)
9400ZZLUECT3,E02000591,Kensington and Chelsea 015,Earl's Court Underground Station,POINT (-0.193752 51.49172)
9400ZZLUECT4,E02000591,Kensington and Chelsea 015,Earl's Court Underground Station,POINT (-0.193663 51.49178)
9400ZZLUECT1,E02000591,Kensington and Chelsea 015,Earl's Court Underground Station,POINT (-0.193836 51.49177)
9400ZZLUFPK1,E02000558,Islington 005,Finsbury Park Underground Station,POINT (-0.106036 51.56439)
9400ZZLUFPK2,E02000558,Islington 005,Finsbury Park Underground Station,POINT (-0.105749 51.56435)
9400ZZLUFPK3,E02000558,Islington 005,Finsbury Park Underground Station,POINT (-0.106035 51.56442)
9400ZZLUFPK4,E02000558,Islington 005,Finsbury Park Underground Station,POINT (-0.105746 51.56443)
9400ZZLUGTR4,E02000592,Kensington and Chelsea 016,Gloucester Road Underground Station,POINT (-0.183207 51.49426)
9400ZZLUGTR5,E02000592,Kensington and Chelsea 016,Gloucester Road Underground Station,POINT (-0.183079 51.49423)
9400ZZLUGTR2,E02000592,Kensington and Chelsea 016,Gloucester Road Underground Station,POINT (-0.183105 51.4943)
9400ZZLUGTR3,E02000592,Kensington and Chelsea 016,Gloucester Road Underground Station,POINT (-0.183005 51.49428)
9400ZZLUGTR1,E02000592,Kensington and Chelsea 016,Gloucester Road Underground Station,POINT (-0.183205 51.49432)
9400ZZLUHBN3,E02000193,Camden 028,Holborn Underground Station,POINT (-0.120244 51.51759)
9400ZZLUHBN4,E02000193,Camden 028,Holborn Underground Station,POINT (-0.120204 51.51751)
9400ZZLURSQ1,E02000193,Camden 028,Russell Square Underground Station,POINT (-0.124399 51.52346)
9400ZZLURSQ2,E02000193,Camden 028,Russell Square Underground Station,POINT (-0.124358 51.5234)
9400ZZLUCHL1,E02000193,Camden 028,Chancery Lane Underground Station,POINT (-0.112143 51.51831)
9400ZZLUCHL2,E02000193,Camden 028,Chancery Lane Underground Station,POINT (-0.112014 51.51829)
9400ZZLUHBN1,E02000193,Camden 028,Holborn Underground Station,POINT (-0.119504 51.51771)
9400ZZLUHBN2,E02000193,Camden 028,Holborn Underground Station,POINT (-0.11936 51.5177)
9400ZZLUHGD1,E02000506,Hillingdon 013,Hillingdon Underground Station,POINT (-0.450409 51.55359)
9400ZZLUHGD2,E02000506,Hillingdon 013,Hillingdon Underground Station,POINT (-0.45038 51.55359)
9400ZZLUHNX1,E02000524,Hillingdon 031,Hatton Cross Underground Station,POINT (-0.423607 51.46639)
9400ZZLUHR41,E02000524,Hillingdon 031,Heathrow Terminal 4 Underground Station,POINT (-0.445863 51.45836)
9400ZZLUHR51,E02000524,Hillingdon 031,Heathrow Terminal 5 Underground Station,POINT (-0.49049 51.47001)
9400ZZLUHRC1,E02000524,Hillingdon 031,Heathrow Terminals 2 & 3 Underground Station,POINT (-0.452334 51.47132)
9400ZZLUHRC2,E02000524,Hillingdon 031,Heathrow Terminals 1-2-3 Underground Station,POINT (-0.45229 51.47135)
9400ZZLUHPC1,E02000978,Westminster 019,Hyde Park Corner Underground Station,POINT (-0.153129 51.50278)
9400ZZLUKNB2,E02000978,Westminster 019,Knightsbridge Underground Station,POINT (-0.161235 51.5015)
9400ZZLUHSD3,E02000384,Hammersmith and Fulham 013,Hammersmith (Dist&Picc Line) Underground Station,POINT (-0.223976 51.49242)
9400ZZLUHSD4,E02000384,Hammersmith and Fulham 013,Hammersmith (Dist&Picc Line) Underground Station,POINT (-0.223934 51.49238)
9400ZZLUHSD1,E02000384,Hammersmith and Fulham 013,Hammersmith (Dist&Picc Line) Underground Station,POINT (-0.224074 51.49249)
9400ZZLUHSD2,E02000384,Hammersmith and Fulham 013,Hammersmith (Dist&Picc Line) Underground Station,POINT (-0.224018 51.49245)
9400ZZLUHSC1,E02000384,Hammersmith and Fulham 013,Hammersmith (H&C Line) Underground Station,POINT (-0.22513 51.49384)
9400ZZLUHWC1,E02000543,Hounslow 018,Hounslow Central Underground Station,POINT (-0.366203 51.47133)
9400ZZLUHWE1,E02000537,Hounslow 012,Hounslow East Underground Station,POINT (-0.356145 51.47354)
9400ZZLUHWE2,E02000537,Hounslow 012,Hounslow East Underground Station,POINT (-0.356057 51.4736)
9400ZZLUOSY1,E02000537,Hounslow 012,Osterley Underground Station,POINT (-0.351812 51.4815)
9400ZZLUOSY2,E02000537,Hounslow 012,Osterley Underground Station,POINT (-0.351843 51.48145)
9400ZZLUHWT1,E02000542,Hounslow 017,Hounslow West Underground Station,POINT (-0.385754 51.47342)
9400ZZLUHWY1,E02000564,Islington 011,Holloway Road Underground Station,POINT (-0.11335 51.5529)
9400ZZLUICK1,E02000504,Hillingdon 011,Ickenham Underground Station,POINT (-0.442225 51.56177)
9400ZZLUICK2,E02000504,Hillingdon 011,Ickenham Underground Station,POINT (-0.442256 51.56171)
9400ZZLUKNB1,E02000588,Kensington and Chelsea 012,Knightsbridge Underground Station,POINT (-0.161179 51.50146)
9400ZZLUKSX6,E02000187,Camden 022,King's Cross St. Pancras Underground Station,POINT (-0.12301 51.53129)
9400ZZLUKSX7,E02000187,Camden 022,King's Cross St. Pancras Underground Station,POINT (-0.123007 51.53136)
490000129E,E02000187,Camden 022,King's Cross St. Pancras Underground Station,POINT (-0.123072 51.5305)
9400ZZLUMRH1,E02000346,Hackney 002,Manor House Underground Station,POINT (-0.09644 51.57028)
9400ZZLUNEN1,E02000257,Ealing 020,North Ealing Underground Station,POINT (-0.288395 51.51782)
9400ZZLUNEN2,E02000257,Ealing 020,North Ealing Underground Station,POINT (-0.288454 51.51779)
9400ZZLUEBY1,E02000257,Ealing 020,Ealing Broadway Underground Station,POINT (-0.301493 51.51521)
9400ZZLUEBY3,E02000257,Ealing 020,Ealing Broadway Underground Station,POINT (-0.301234 51.5152)
9400ZZLUEBY4,E02000257,Ealing 020,Ealing Broadway Underground Station,POINT (-0.301075 51.5152)
9400ZZLUNFD1,E02000269,Ealing 032,Northfields Underground Station,POINT (-0.313468 51.49964)
9400ZZLUNFD2,E02000269,Ealing 032,Northfields Underground Station,POINT (-0.313381 51.49967)
9400ZZLUSEA1,E02000269,Ealing 032,South Ealing Underground Station,POINT (-0.307421 51.5011)
9400ZZLUSEA2,E02000269,Ealing 032,South Ealing Underground Station,POINT (-0.307364 51.50108)
9400ZZLUOAK1,E02000296,Enfield 020,Oakwood Underground Station,POINT (-0.131418 51.64733)
9400ZZLUSGT1,E02000296,Enfield 020,Southgate Underground Station,POINT (-0.12772 51.63218)
9400ZZLUPKR1,E02000248,Ealing 011,Park Royal Underground Station,POINT (-0.284058 51.5266)
9400ZZLUPKR2,E02000248,Ealing 011,Park Royal Underground Station,POINT (-0.284032 51.52652)
9400ZZLUHGR1,E02000248,Ealing 011,Hanger Lane Underground Station,POINT (-0.293405 51.53033)
9400ZZLURSM1,E02000500,Hillingdon 007,Ruislip Manor Underground Station,POINT (-0.412215 51.57343)
9400ZZLURSM2,E02000500,Hillingdon 007,Ruislip Manor Underground Station,POINT (-0.412113 51.57346)
9400ZZLURSP1,E02000500,Hillingdon 007,Ruislip Underground Station,POINT (-0.421537 51.57137)
9400ZZLURSP2,E02000500,Hillingdon 007,Ruislip Underground Station,POINT (-0.42142 51.57139)
9400ZZLURSP3,E02000500,Hillingdon 007,Ruislip Underground Station,POINT (-0.421653 51.57134)
9400ZZLURSP4,E02000500,Hillingdon 007,Ruislip Underground Station,POINT (-0.421465 51.57136)
9400ZZLURVP1,E02000382,Hammersmith and Fulham 011,Ravenscourt Park Underground Station,POINT (-0.235924 51.49413)
9400ZZLURVP2,E02000382,Hammersmith and Fulham 011,Ravenscourt Park Underground Station,POINT (-0.235837 51.49413)
9400ZZLURYL1,E02006795,Harrow 032,Rayners Lane Underground Station,POINT (-0.371458 51.57518)
9400ZZLURYL2,E02006795,Harrow 032,Rayners Lane Underground Station,POINT (-0.371372 51.57516)
9400ZZLUSHH1,E02000462,Harrow 030,South Harrow Underground Station,POINT (-0.352332 51.56452)
9400ZZLUSHH2,E02000462,Harrow 030,South Harrow Underground Station,POINT (-0.352277 51.56447)
9400ZZLUSKS2,E02000590,Kensington and Chelsea 014,South Kensington Underground Station,POINT (-0.173363 51.49402)
9400ZZLUSKS3,E02000590,Kensington and Chelsea 014,South Kensington Underground Station,POINT (-0.173263 51.49402)
9400ZZLUSKS1,E02000590,Kensington and Chelsea 014,South Kensington Underground Station,POINT (-0.173057 51.4941)
9400ZZLUSKS4,E02000590,Kensington and Chelsea 014,South Kensington Underground Station,POINT (-0.172913 51.4941)
9400ZZLUSUH1,E02000461,Harrow 029,Sudbury Hill Underground Station,POINT (-0.336951 51.55704)
9400ZZLUSUH2,E02000461,Harrow 029,Sudbury Hill Underground Station,POINT (-0.336837 51.557)
9400ZZLUSUT1,E02000108,Brent 016,Sudbury Town Underground Station,POINT (-0.315774 51.5508)
9400ZZLUSUT2,E02000108,Brent 016,Sudbury Town Underground Station,POINT (-0.315689 51.55076)
9400ZZLUTNG1,E02000526,Hounslow 001,Turnham Green Underground Station,POINT (-0.254622 51.49527)
9400ZZLUTNG2,E02000526,Hounslow 001,Turnham Green Underground Station,POINT (-0.25455 51.49526)
9400ZZLUSFB2,E02000526,Hounslow 001,Stamford Brook Underground Station,POINT (-0.245917 51.495)
9400ZZLUSFB1,E02000526,Hounslow 001,Stamford Brook Underground Station,POINT (-0.245931 51.495)
9400ZZLUTNG3,E02000526,Hounslow 001,Turnham Green Underground Station,POINT (-0.254464 51.49526)
9400ZZLUTNG4,E02000526,Hounslow 001,Turnham Green Underground Station,POINT (-0.254377 51.49526)
9400ZZLUTPN1,E02000415,Haringey 019,Turnpike Lane Underground Station,POINT (-0.10289 51.59005)
9400ZZLUUXB1,E02000508,Hillingdon 015,Uxbridge Underground Station,POINT (-0.477191 51.54681)
9400ZZLUWOG1,E02000403,Haringey 007,Wood Green Underground Station,POINT (-0.11009 51.59744)
9400ZZBPSUST,E02000924,Wandsworth 002,Battersea Power Station Underground Station,POINT (-0.142142 51.47993)
490012196E,E02000924,Wandsworth 002,Battersea Power Station Underground Station,POINT (-0.141429 51.47976)
490012196S,E02000924,Wandsworth 002,Battersea Power Station Underground Station,POINT (-0.141129 51.47971)
9400ZZLUACY1,E02000557,Islington 004,Archway Underground Station,POINT (-0.134586 51.56518)
9400ZZLUAGL1,E02000575,Islington 022,Angel Underground Station,POINT (-0.10593 51.53186)
9400ZZLUFCN1,E02000575,Islington 022,Farringdon Underground Station,POINT (-0.104992 51.52043)
9400ZZLUFCN2,E02000575,Islington 022,Farringdon Underground Station,POINT (-0.104937 51.52037)
9400ZZLUBLM1,E02000943,Wandsworth 021,Balham Underground Station,POINT (-0.152265 51.44397)
9400ZZLUBNK4,E02000001,City of London 001,Bank Underground Station,POINT (-0.087847 51.51231)
9400ZZLUBNK5,E02000001,City of London 001,Bank Underground Station,POINT (-0.087792 51.51225)
9400ZZLUMGT3,E02000001,City of London 001,Moorgate Underground Station,POINT (-0.087818 51.51887)
9400ZZLUMGT4,E02000001,City of London 001,Moorgate Underground Station,POINT (-0.087786 51.51893)
9400ZZLUBNK1,E02000001,City of London 001,Bank Underground Station,POINT (-0.088899 51.51335)
9400ZZLUBNK2,E02000001,City of London 001,Bank Underground Station,POINT (-0.088712 51.51333)
9400ZZLULVT1,E02000001,City of London 001,Liverpool Street Underground Station,POINT (-0.082127 51.51811)
9400ZZLULVT2,E02000001,City of London 001,Liverpool Street Underground Station,POINT (-0.082202 51.51806)
9400ZZLUSPU1,E02000001,City of London 001,St. Paul's Underground Station,POINT (-0.098321 51.51517)
9400ZZLUSPU2,E02000001,City of London 001,St. Paul's Underground Station,POINT (-0.098392 51.51519)
9400ZZLUBKF1,E02000001,City of London 001,Blackfriars Underground Station,POINT (-0.103341 51.5116)
9400ZZLUBKF2,E02000001,City of London 001,Blackfriars Underground Station,POINT (-0.103239 51.51162)
9400ZZLUCST1,E02000001,City of London 001,Cannon Street Underground Station,POINT (-0.090423 51.51136)
9400ZZLUCST2,E02000001,City of London 001,Cannon Street Underground Station,POINT (-0.090424 51.51136)
9400ZZLUMMT1,E02000001,City of London 001,Monument Underground Station,POINT (-0.086169 51.51075)
9400ZZLUMMT2,E02000001,City of London 001,Monument Underground Station,POINT (-0.086069 51.51072)
9400ZZLUMSH1,E02000001,City of London 001,Mansion House Underground Station,POINT (-0.094776 51.5117)
9400ZZLUMSH2,E02000001,City of London 001,Mansion House Underground Station,POINT (-0.09505 51.5117)
9400ZZLUALD2,E02000001,City of London 001,Aldgate Underground Station,POINT (-0.075506 51.51414)
9400ZZLUALD3,E02000001,City of London 001,Aldgate Underground Station,POINT (-0.075465 51.51409)
9400ZZLUBBN1,E02000001,City of London 001,Barbican Underground Station,POINT (-0.097948 51.52032)
9400ZZLUBBN2,E02000001,City of London 001,Barbican Underground Station,POINT (-0.098049 51.5203)
9400ZZLULVT3,E02000001,City of London 001,Liverpool Street Underground Station,POINT (-0.082364 51.51727)
9400ZZLULVT4,E02000001,City of London 001,Liverpool Street Underground Station,POINT (-0.082278 51.51726)
9400ZZLUMGT1,E02000001,City of London 001,Moorgate Underground Station,POINT (-0.089406 51.51846)
9400ZZLUMGT2,E02000001,City of London 001,Moorgate Underground Station,POINT (-0.089505 51.51849)
9400ZZLUALD1,E02000001,City of London 001,Aldgate Underground Station,POINT (-0.075547 51.51419)
9400ZZLUALD4,E02000001,City of London 001,Aldgate Underground Station,POINT (-0.075423 51.51404)
9400ZZLUBNK3,E02000001,City of London 001,Bank Underground Station,POINT (-0.090047 51.51313)
9400ZZLUBNK8,E02000001,City of London 001,Bank Underground Station,POINT (-0.088339 51.51331)
9400ZZLUBOR1,E02000808,Southwark 002,Borough Underground Station,POINT (-0.093508 51.50098)
9400ZZLUBOR2,E02000808,Southwark 002,Borough Underground Station,POINT (-0.093597 51.50094)
9400ZZLUBTK1,E02000047,Barnet 024,Burnt Oak Underground Station,POINT (-0.264131 51.60286)
9400ZZLUBTX1,E02000060,Barnet 037,Brent Cross Underground Station,POINT (-0.213621 51.57669)
9400ZZLUBZP1,E02000176,Camden 011,Belsize Park Underground Station,POINT (-0.164766 51.55024)
9400ZZLUBZP2,E02000173,Camden 008,Belsize Park Underground Station,POINT (-0.164783 51.55053)
